raw_reference,stage_1_label,stage_2_extracted_fields,violation_tags,adversarial_reference
"Bologna, C. (2018) What happens to your mind and body when you feel homesick? Available at: https://www.huffingtonpost.com/entry/what-happens-mindbody-homesick_us_5b201ebde4b09d7a3d77eee1 (Accessed: 24 June 2025).",website,"{'authors': ['Bologna', 'C.'], 'year': '2018', 'title': 'What happens to your mind and body when you feel homesick? Available at: https://www', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.huffingtonpost.com/entry/what-happens-mindbody-homesick_us_5b201ebde4b09d7a3d77eee1', 'accessed_date': '24 June 2025', 'reference_type': 'website'}",['url_without_doi'],"Bologna, C (2018) What happens to your mind and body when you feel homesick? Available at: https://wwwhuffingtonpostcom/entry/what-happens-mindbody-homesick_us_5b201ebde4b09d7a3d77eee1 (Accessed: 24 June 2025)"
"Boys, R. (1999) “Beekeeping in a nutshellListen to the Bees”, Available at https://beedata.com.mirror.hiveeyes.org/data2/listen/listenbees.htm [Last accessed 18 October 2020]",website,"{'authors': ['Boys', 'R.'], 'year': '1999', 'title': '“Beekeeping in a nutshellListen to the Bees”, Available at https://beedata', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://beedata.com.mirror.hiveeyes.org/data2/listen/listenbees.htm', 'accessed_date': '', 'reference_type': 'website'}",['url_without_doi'],"Boys, R. (n.d.) “Beekeeping in a nutshellListen to the Bees”, Available at https://beedata.com.mirror.hiveeyes.org/data2/listen/listenbees.htm [Last accessed 18 October 2020]"
"Bush, T. (2006). Theories of Childcare. London: Harper Row.",book,"{'authors': ['Bush', 'T.'], 'year': '2006', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"BUSH, T. (2006). THEORIES OF CHILDCARE. LONDON: HARPER ROW."
"Rietdorf, K. and Bootman, M. (2024) 'Topic 3: rare diseases'. S290: Investigating human health and disease. Available at: https://learn2.open.ac.uk/mod/oucontent/view.php?id=2332940 (Accessed: 24 January 2025).",website,"{'authors': ['Rietdorf', 'K.', 'Bootman', 'M.'], 'year': '2024', 'title': 'Topic 3: rare diseases', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://learn2.open.ac.uk/mod/oucontent/view.php?id=2332940', 'accessed_date': '24 January 2025', 'reference_type': 'website'}",['url_without_doi'],"RIETDORF, K. AND BOOTMAN, M. (2024) 'TOPIC 3: RARE DISEASES'. S290: INVESTIGATING HUMAN HEALTH AND DISEASE. AVAILABLE AT: HTTPS://LEARN2.OPEN.AC.UK/MOD/OUCONTENT/VIEW.PHP?ID=2332940 (ACCESSED: 24 JANUARY 2025)."
"Kircher, W.H. (1993) 'Acoustical communication in honeybees', Apidologie, 24(3), pp.297-307.",journal,"{'authors': ['Kircher', 'W.H.'], 'year': '1993', 'title': ""'Acoustical communication in honeybees', Apidologie, 24(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Kircher, WH (1993) 'Acoustical communication in honeybees', Apidologie, 24(3), pp297-307"
"Gradišek, A. and Grad, J. (2018) 'Bumblebee brood temperature and colony development: a field study', Acta Entomologica Slovenica, 26(2), pp.219-232.",journal,"{'authors': ['Gradišek', 'A.', 'Grad', 'J.'], 'year': '2018', 'title': ""'Bumblebee brood temperature and colony development: a field study', Acta Entomologica Slovenica, 26(2), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Gradišek, A. & Grad, J. (2018) 'Bumblebee brood temperature & colony development: a field study', Acta Entomologica Slovenica, 26(2), pp.219-232."
"Carling, A. (1992) Introduction to neural networks.1st edn. Wilmslow: Coronet Books.",book,"{'authors': ['Carling', 'A.'], 'year': '1992', 'title': 'Introduction to neural networks', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Carling, A. (1992) Introduction to neural networks.1st edn. Wilmslow: Coronet Books."
"Goodfellow, I., Bengio, Y. and Courville, A. (2016b) Deep Learning. MIT Press.",book,"{'authors': ['Goodfellow', 'I.', 'Bengio', 'Y.', 'Courville', 'A.'], 'year': '2016b', 'title': 'Deep Learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",['missing_place'],"Goodfellow, I., Bengio, Y. and Courville, A. (2016b) Deep Learning. MIT Press."
"Ganchev, T., Fakotakis, N. and Kokkinakis, G. (2005a) Comparative evaluation of various MFCC implementations on the speaker verification task, Available at:https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f4b98dbd75c87a86a8bf0d7e09e3ebbb63d14954 (Accessed: 5 March 2023)",website,"{'authors': ['Ganchev', 'T.', 'Fakotakis', 'N.', 'Kokkinakis', 'G.'], 'year': '2005a', 'title': 'Comparative evaluation of various MFCC implementations on the speaker verification task, Available at:https://citeseerx', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f4b98dbd75c87a86a8bf0d7e09e3ebbb63d14954', 'accessed_date': '5 March 2023', 'reference_type': 'website'}",[],"Ganchev, T., Fakotakis, N. and Kokkinakis, G. (n.d.) Comparative evaluation of various MFCC implementations on the speaker verification task, Available at:https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f4b98dbd75c87a86a8bf0d7e09e3ebbb63d14954 (Accessed: 5 March 2023)"
"Thomas, D. and Tian, L. (2021) 'Hits from the Bong: the impact of recreational marijuana dispensaries on property values', Regional Science and Urban Economics, 87, article number 103655.",journal,"{'authors': ['Thomas', 'D.', 'Tian', 'L.'], 'year': '2021', 'title': ""'Hits from the Bong: the impact of recreational marijuana dispensaries on property values', Regional Science and Urban Economics, 87, article number 103655"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",['missing_pages'],"Thomas, D. and Tian, L. (2021) 'Hits from the Bong: the impact of recreational marijuana dispensaries on property values', Regional Science and Urban Economics, 87, article number 103655."
MathWorks (2020) Mfcc  Available at: https://uk.mathworks.com/help/audio/ref/mfcc.html (Accessed: 6 November 2023).,website,"{'authors': ['MathWorks'], 'year': '2020', 'title': 'Mfcc  Available at: https://uk', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://uk.mathworks.com/help/audio/ref/mfcc.html', 'accessed_date': '6 November 2023', 'reference_type': 'website'}",['url_without_doi'],MathWorks (n.d.) Mfcc  Available at: https://uk.mathworks.com/help/audio/ref/mfcc.html (Accessed: 6 November 2023).
Scientific Advisory Committee on Nutrition (2016) Vitamin D and health. Available at: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/537616/SACN_Vitamin_D_and_Health_report.pdf (Accessed: 25 July 2025).,other,"{'authors': ['Scientific Advisory Committee on Nutrition'], 'year': '2016', 'title': 'Vitamin D and health', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/537616/SACN_Vitamin_D_and_Health_report.pdf', 'accessed_date': '25 July 2025', 'reference_type': 'other'}",['url_without_doi'],Scientific Advisory Committee on Nutrition (n.d.) Vitamin D and health. Available at: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/537616/SACN_Vitamin_D_and_Health_report.pdf (Accessed: 25 July 2025).
"Ramsey, M.,Bencsik, M. and Newton, M.I. (2017) 'Long-term trends in the honeybee 'whooping signal' revealed by automated detection', PloS One, 12(2), pp.e0171162.",journal,"{'authors': ['Ramsey', 'M.', 'Bencsik', 'M.', 'Newton', 'M.I.'], 'year': '2017', 'title': ""'Long-term trends in the honeybee 'whooping signal' revealed by automated detection', PloS One, 12(2), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Ramsey, M.,Bencsik, M. and Newton, M.I. (2017) 'Long-term trends in the honeybee 'whooping signal' revealed by automated detection', PloS One, 12(2), pp.e0171162."
"Bencsik, M. et al. (2011a) 'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp.44-50.",journal,"{'authors': ['Bencsik', 'M. et al.'], 'year': '2011a', 'title': ""'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Bencsik, M. et al. (2011a) 'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp.44-50."
"Graham, K. (2020) 'The biggest tree and the smallest axe', The Guardian, 31 August, pp.21-22.",newspaper,"{'authors': ['Graham', 'K.'], 'year': '2020', 'title': ""'The biggest tree and the smallest axe', The Guardian, 31 August, pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'newspaper'}",[],"GRAHAM, K. (2020) 'THE BIGGEST TREE AND THE SMALLEST AXE', THE GUARDIAN, 31 AUGUST, PP.21-22."
"Gradišek, A. et al. (2017a) 'Predicting species identity of bumblebees through analysis of flight buzzing sounds', Bioacoustics (Berkhamsted), 26(1), pp.63-76.",journal,"{'authors': ['Gradišek', 'A. et al.'], 'year': '2017a', 'title': ""'Predicting species identity of bumblebees through analysis of flight buzzing sounds', Bioacoustics (Berkhamsted), 26(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Gradišek, A. et al. (2017a) 'Predicting species identity of bumblebees through analysis of flight buzzing sounds', Bioacoustics (Berkhamsted), 26(1), pp.63-76."
Statistica (2024) How to identify patterns in time series data: Time series analysis. Available at: http://www.statsoft.com/textbook/time-series-analysis#systematic.(Accessed:07 November 2019).,website,"{'authors': ['Statistica'], 'year': '2024', 'title': 'How to identify patterns in time series data: Time series analysis', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://www.statsoft.com/textbook/time-series-analysis#systematic.(Accessed:07', 'accessed_date': '07 November 2019', 'reference_type': 'website'}",['url_without_doi'],Statistica (2024) How to identify patterns in time series data: Time series analysis. Available at: http://www.statsoft.com/textbook/time-series-analysis#systematic.(Accessed:07 November 2019).
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (n.d.) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Robles-Guerrero, A. et al. (2017) 'Frequency analysis of honeybee buzz for automatic recognition of health status: A preliminary study', Research in Computing Science, 142(1), pp.89-98.",journal,"{'authors': ['Robles-Guerrero', 'A. et al.'], 'year': '2017', 'title': ""'Frequency analysis of honeybee buzz for automatic recognition of health status: A preliminary study', Research in Computing Science, 142(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Robles-Guerrero, A. et al. (2017) 'Frequency analysis of honeybee buzz for automatic recognition of health status: A preliminary study', Research in Computing Science, 142(1), pp.89-98."
The British Psychological Society (2018) Code of ethics and conduct. Available at: https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct (Accessed: 22 March 2019).,website,"{'authors': ['The British Psychological Society'], 'year': '2018', 'title': 'Code of ethics and conduct', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct', 'accessed_date': '22 March 2019', 'reference_type': 'website'}",['url_without_doi'],The British Psychological Society (2018) Code of ethics and conduct. Retrieved from: https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct (Accessed: 22 March 2019).
"Ritchie, H. (2021) How much of the world’s food production is dependent on pollinators? Available at: https://ourworldindata.org/pollinator-dependence (Accessed: May 16, 2022).",website,"{'authors': ['Ritchie', 'H.'], 'year': '2021', 'title': 'How much of the world’s food production is dependent on pollinators? Available at: https://ourworldindata', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://ourworldindata.org/pollinator-dependence', 'accessed_date': 'May 16, 2022', 'reference_type': 'website'}",['url_without_doi'],"Ritchie, H. (2021) How much of the world’s food production is dependent on pollinators? Retrieved from: https://ourworldindata.org/pollinator-dependence (Accessed: May 16, 2022)."
"Frazier, D.R. (2016) The Colosseum in Rome, Italy [Photograph]. Available at: https://quest-eb-com.libezproxy.open.ac.uk/images/search/colosseum/deta… (Accessed: 1 September 2025).",image,"{'authors': ['Frazier', 'D.R.'], 'year': '2016', 'title': 'The Colosseum in Rome, Italy [Photograph]', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://quest-eb-com.libezproxy.open.ac.uk/images/search/colosseum/deta…', 'accessed_date': '1 September 2025', 'reference_type': 'image'}",['url_without_doi'],"Frazier, D.R. (2016) The Colosseum in Rome, Italy [Photograph]. Retrieved from: https://quest-eb-com.libezproxy.open.ac.uk/images/search/colosseum/deta… (Accessed: 1 September 2025)."
Dundalk Institute of Technology. (2012). Whitaker Theatre [image online]. Available from: https://www.dkit.ie/about [accessed 5 July 2014].,image,"{'authors': ['Dundalk Institute of Technology.'], 'year': '2012', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.dkit.ie/about', 'accessed_date': '', 'reference_type': 'image'}",['url_without_doi'],Dundalk Institute of Technology (2012) Whitaker Theatre [image online] Available from: https://wwwdkitie/about [accessed 5 July 2014]
"Kumar, S.S. (2018) 'Colony collapse disorder (CCD) in honeybees caused by EMF Radiation', Bioinformation, 14(9), pp.521-524.",journal,"{'authors': ['Kumar', 'S.S.'], 'year': '2018', 'title': ""'Colony collapse disorder (CCD) in honeybees caused by EMF Radiation', Bioinformation, 14(9), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"KUMAR, S.S. (2018) 'COLONY COLLAPSE DISORDER (CCD) IN HONEYBEES CAUSED BY EMF RADIATION', BIOINFORMATION, 14(9), PP.521-524."
MathWorks (2016) Introduction to Machine Learning. Available at: https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf (Accessed: 20 June 2020).,ebook,"{'authors': ['MathWorks'], 'year': '2016', 'title': 'Introduction to Machine Learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf', 'accessed_date': '20 June 2020', 'reference_type': 'ebook'}",['url_without_doi'],MATHWORKS (2016) INTRODUCTION TO MACHINE LEARNING. AVAILABLE AT: HTTPS://WWW.MATHWORKS.COM/CONTENT/DAM/MATHWORKS/TAG-TEAM/OBJECTS/I/88174_92991V00_MACHINE_LEARNING_SECTION1_EBOOK.PDF (ACCESSED: 20 JUNE 2020).
"Baraniuk, R. (2009) Signals and systems. Florida: University Press of Florida.",book,"{'authors': ['Baraniuk', 'R.'], 'year': '2009', 'title': 'Signals and systems', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"BARANIUK, R. (2009) SIGNALS AND SYSTEMS. FLORIDA: UNIVERSITY PRESS OF FLORIDA."
"Neumann, P. and Carreck, N.L. (2010) 'Honeybee colony losses', Journal of Apicultural Research, 49(1), pp.1-6.",journal,"{'authors': ['Neumann', 'P.', 'Carreck', 'N.L.'], 'year': '2010', 'title': ""'Honeybee colony losses', Journal of Apicultural Research, 49(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Neumann, P and Carreck, NL (2010) 'Honeybee colony losses', Journal of Apicultural Research, 49(1), pp1-6"
Dundalk Institute of Technology. (2012). Whitaker Theatre [image online]. Available from: https://www.dkit.ie/about [accessed 5 July 2014].,image,"{'authors': ['Dundalk Institute of Technology.'], 'year': '2012', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.dkit.ie/about', 'accessed_date': '', 'reference_type': 'image'}",['url_without_doi'],Dundalk Institute of Technology (2012) Whitaker Theatre [image online] Available from: https://wwwdkitie/about [accessed 5 July 2014]
"Hochreiter, S. and Schmidhuber, J. (1996) LSTM can solve hard long time lag problems, Colorado: MIT Press.",book,"{'authors': ['Hochreiter', 'S.', 'Schmidhuber', 'J.'], 'year': '1996', 'title': 'LSTM can solve hard long time lag problems, Colorado: MIT Press', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Hochreiter, S. and Schmidhuber, J. (1996) LSTM can solve hard long time lag problems, Colorado: MIT Press."
"Nolasco, I., Terenzi, A., Cecchi, S., Orcioni, S., Bear, H.L. and Benetos, E. (2019) 'Audio-based identification of beehive states', ICASSP 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP). Brighton, UK, 12–17 May. IEEE, pp. 8256–8260. Available at: doi.org.",conference,"{'authors': ['Nolasco', 'I.', 'Terenzi', 'A.', 'Cecchi', 'S.', 'Orcioni', 'S.', 'Bear', 'H.L.', 'Benetos', 'E.'], 'year': '2019', 'title': ""'Audio-based identification of beehive states', ICASSP 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'conference'}",['missing_access_date'],"Nolasco, I, Terenzi, A, Cecchi, S, Orcioni, S, Bear, HL and Benetos, E (2019) 'Audio-based identification of beehive states', ICASSP 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) Brighton, UK, 12–17 May IEEE, pp 8256–8260 Available at: doiorg"
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics & adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Bell, J. (2014) Doing your research project. Open University Press.",book,"{'authors': ['Bell', 'J.'], 'year': '2014', 'title': 'Doing your research project', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",['missing_place'],"Bell, J. (n.d.) Doing your research project. Open University Press."
