raw_reference,stage_1_label,stage_2_extracted_fields,violation_tags,adversarial_reference
"Bromenshenk, J. et al. (2015) 'Bees as biosensors: Chemosensory ability, honeybee monitoring systems, and emergent sensor technologies derived from the pollinator syndrome', Biosensors (Basel), 5(4), pp.678-711.",journal,"{'authors': ['Bromenshenk', 'J. et al.'], 'year': '2015', 'title': ""'Bees as biosensors: Chemosensory ability, honeybee monitoring systems, and emergent sensor technologies derived from the pollinator syndrome', Biosensors (Basel), 5(4), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Bromenshenk, J. et al. (2015) 'Bees as biosensors: Chemosensory ability, honeybee monitoring systems, & emergent sensor technologies derived from the pollinator syndrome', Biosensors (Basel), 5(4), pp.678-711."
"Robles-Guerrero, A. et al. (2017) 'Frequency analysis of honeybee buzz for automatic recognition of health status: A preliminary study', Research in Computing Science, 142(1), pp.89-98.",journal,"{'authors': ['Robles-Guerrero', 'A. et al.'], 'year': '2017', 'title': ""'Frequency analysis of honeybee buzz for automatic recognition of health status: A preliminary study', Research in Computing Science, 142(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"ROBLES-GUERRERO, A. ET AL. (2017) 'FREQUENCY ANALYSIS OF HONEYBEE BUZZ FOR AUTOMATIC RECOGNITION OF HEALTH STATUS: A PRELIMINARY STUDY', RESEARCH IN COMPUTING SCIENCE, 142(1), PP.89-98."
"Lee, K.Y. et al. (2017) 'Pollination efficiency of honeybees (Apis mellifera L.) and bumblebees (Bombus terrestris L.) in different cultivars of Asian Pear (Pyrus pyrifolia Nakai)', Journal of Apiculture, 32(4), pp.303-314.",journal,"{'authors': ['Lee', 'K.Y. et al.'], 'year': '2017', 'title': ""'Pollination efficiency of honeybees (Apis mellifera L"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Lee, KY et al (2017) 'Pollination efficiency of honeybees (Apis mellifera L) and bumblebees (Bombus terrestris L) in different cultivars of Asian Pear (Pyrus pyrifolia Nakai)', Journal of Apiculture, 32(4), pp303-314"
"Rao, K. and Ahmed, N. (1976) 'Orthogonal transforms for digital signal processing', IEEE Transactions on Systems Man and Cybernetics, 6(11), pp.796-797.",journal,"{'authors': ['Rao', 'K.', 'Ahmed', 'N.'], 'year': '1976', 'title': ""'Orthogonal transforms for digital signal processing', IEEE Transactions on Systems Man and Cybernetics, 6(11), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Rao, K. and Ahmed, N. (1976) 'Orthogonal transforms for digital signal processing', IEEE Transactions on Systems Man and Cybernetics, 6(11), pp.796-797."
"Tocmo, R. (2024) 'Food fraud' [Presentation slides]. FB1FSC: Food System Challenges. University of Reading. Available at: https://www.bb.reading.ac.uk (Accessed: 17 December 2024).",other,"{'authors': ['Tocmo', 'R.'], 'year': '2024', 'title': ""'Food fraud' [Presentation slides]"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.bb.reading.ac.uk', 'accessed_date': '17 December 2024', 'reference_type': 'other'}",['url_without_doi'],"Tocmo, R. (2024) 'Food fraud' [Presentation slides]. FB1FSC: Food System Challenges. University of Reading. Available at: https://www.bb.reading.ac.uk (Accessed: 17 December 2024)."
"Hunter, G.A., Howard, D. and Duran, O. (2016) ‘A user-centred design approach towards developing an intelligent living environment for honeybees’, in Proceedings of the 30th International BCS Human Computer Interaction Conference: Fusion!. July 2016. Swindon: BCS Learning & Development Ltd, pp. 1–8.",conference,"{'authors': ['Hunter', 'G.A.', 'Howard', 'D.', 'Duran', 'O.'], 'year': '2016', 'title': '‘A user-centred design approach towards developing an intelligent living environment for honeybees’, in Proceedings of the 30th International BCS Human Computer Interaction Conference: Fusion!', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'conference'}",[],"Hunter, GA, Howard, D and Duran, O (2016) ‘A user-centred design approach towards developing an intelligent living environment for honeybees’, in Proceedings of the 30th International BCS Human Computer Interaction Conference: Fusion! July 2016 Swindon: BCS Learning & Development Ltd, pp 1–8"
The Open University (2024) ‘Video 2.7 an example of a Frith-Happé animation’. Available at: https://learn2.open.ac.uk/mod/oucontent/view.php?id=2369655&section=4.9… (Accessed: 22 November 2024).,website,"{'authors': ['The Open University'], 'year': '2024', 'title': '‘Video 2', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://learn2.open.ac.uk/mod/oucontent/view.php?id=2369655&section=4.9…', 'accessed_date': '22 November 2024', 'reference_type': 'website'}",['url_without_doi'],The Open University (2024) ‘Video 27 an example of a Frith-Happé animation’ Available at: https://learn2openacuk/mod/oucontent/viewphp?id=2369655&section=49… (Accessed: 22 November 2024)
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Switanek, M. et al. (2017) 'Modelling seasonal effects of temperature and precipitation on honeybee winter mortality in a temperate climate', Science of the Total Environment, 579 pp.1581-1587.",journal,"{'authors': ['Switanek', 'M. et al.'], 'year': '2017', 'title': ""'Modelling seasonal effects of temperature and precipitation on honeybee winter mortality in a temperate climate', Science of the Total Environment, 579 pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Switanek, M. et al. (2017) 'Modelling seasonal effects of temperature and precipitation on honeybee winter mortality in a temperate climate', Science of the Total Environment, 579 pp.1581-1587."
MathWorks (2016) Introduction to Machine Learning. Available at: https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf (Accessed: 20 June 2020).,ebook,"{'authors': ['MathWorks'], 'year': '2016', 'title': 'Introduction to Machine Learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf', 'accessed_date': '20 June 2020', 'reference_type': 'ebook'}",['url_without_doi'],MathWorks (2016) Introduction to Machine Learning Available at: https://wwwmathworkscom/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebookpdf (Accessed: 20 June 2020)
Environment Agency (2020) The flood and coastal erosion risk management strategy action plan 2021. Environment Agency.,other,"{'authors': ['Environment Agency'], 'year': '2020', 'title': 'The flood and coastal erosion risk management strategy action plan 2021', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'other'}",[],Environment Agency (2020) The flood and coastal erosion risk management strategy action plan 2021. Environment Agency.
Dundalk Institute of Technology. (2012). Whitaker Theatre [image online]. Available from: https://www.dkit.ie/about [accessed 5 July 2014].,image,"{'authors': ['Dundalk Institute of Technology.'], 'year': '2012', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.dkit.ie/about', 'accessed_date': '', 'reference_type': 'image'}",['url_without_doi'],Dundalk Institute of Technology. (2012). Whitaker Theatre [image online]. Available from: https://www.dkit.ie/about [accessed 5 July 2014].
"Olby, R. (2014) ‘Crick, Francis Harry Compton (1916–2004)’, in Oxford dictionary of national biography. Online edn. Oxford University Press. Available at: https://doi.org/10.1093/ref:odnb/93883.",book,"{'authors': ['Olby', 'R.'], 'year': '2014', 'title': '‘Crick, Francis Harry Compton (1916–2004)’, in Oxford dictionary of national biography', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://doi.org/10.1093/ref:odnb/93883.', 'accessed_date': '', 'reference_type': 'book'}",['missing_access_date'],"OLBY, R. (2014) ‘CRICK, FRANCIS HARRY COMPTON (1916–2004)’, IN OXFORD DICTIONARY OF NATIONAL BIOGRAPHY. ONLINE EDN. OXFORD UNIVERSITY PRESS. AVAILABLE AT: HTTPS://DOI.ORG/10.1093/REF:ODNB/93883."
"Callan, R. (1999) The essence of neural networks.1st edn. United Kingdom: Pearson Hall Europe.",book,"{'authors': ['Callan', 'R.'], 'year': '1999', 'title': 'The essence of neural networks', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Callan, R. (1999) The essence of neural networks.1st edn. United Kingdom: Pearson Hall Europe."
"Žgank, A. (2018) 'Acoustic monitoring and classification of bee swarm activity using MFCC feature extraction and HMM acoustic modelling', Elektro 2018 pp.1-4.",journal,"{'authors': ['Žgank', 'A.'], 'year': '2018', 'title': ""'Acoustic monitoring and classification of bee swarm activity using MFCC feature extraction and HMM acoustic modelling', Elektro 2018 pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Žgank, A. (n.d.) 'Acoustic monitoring and classification of bee swarm activity using MFCC feature extraction and HMM acoustic modelling', Elektro 2018 pp.1-4."
The British Psychological Society (2018) Code of ethics and conduct. Available at: https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct (Accessed: 22 March 2019).,website,"{'authors': ['The British Psychological Society'], 'year': '2018', 'title': 'Code of ethics and conduct', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct', 'accessed_date': '22 March 2019', 'reference_type': 'website'}",['url_without_doi'],The British Psychological Society (2018) Code of ethics & conduct. Available at: https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct (Accessed: 22 March 2019).
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Rietdorf, K. and Bootman, M. (2024) 'Topic 3: rare diseases'. S290: Investigating human health and disease. Available at: https://learn2.open.ac.uk/mod/oucontent/view.php?id=2332940 (Accessed: 24 January 2025).",website,"{'authors': ['Rietdorf', 'K.', 'Bootman', 'M.'], 'year': '2024', 'title': 'Topic 3: rare diseases', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://learn2.open.ac.uk/mod/oucontent/view.php?id=2332940', 'accessed_date': '24 January 2025', 'reference_type': 'website'}",['url_without_doi'],"RIETDORF, K. AND BOOTMAN, M. (2024) 'TOPIC 3: RARE DISEASES'. S290: INVESTIGATING HUMAN HEALTH AND DISEASE. AVAILABLE AT: HTTPS://LEARN2.OPEN.AC.UK/MOD/OUCONTENT/VIEW.PHP?ID=2332940 (ACCESSED: 24 JANUARY 2025)."
"Graham, K. (2020) 'The biggest tree and the smallest axe', The Guardian, 31 August, pp.21-22.",newspaper,"{'authors': ['Graham', 'K.'], 'year': '2020', 'title': ""'The biggest tree and the smallest axe', The Guardian, 31 August, pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'newspaper'}",[],"GRAHAM, K. (2020) 'THE BIGGEST TREE AND THE SMALLEST AXE', THE GUARDIAN, 31 AUGUST, PP.21-22."
"Bernard, É (2021) Introduction to machine learning. Champaign: Wolfram Media, Inc.",book,"{'authors': ['Bernard', 'É'], 'year': '2021', 'title': 'Introduction to machine learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Bernard, É (2021) Introduction to machine learning. Champaign: Wolfram Media, Inc."
"Bowerman, B.L. (1993) Forecasting and time series: An applied approach. 3rd edn. Belmont, Calif: Duxbury Press.",book,"{'authors': ['Bowerman', 'B.L.'], 'year': '1993', 'title': 'Forecasting and time series: An applied approach', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Bowerman, B.L. (1993) Forecasting and time series: An applied approach. 3rd edn. Belmont, Calif: Duxbury Press."
"Frazier, D.R. (2016) The Colosseum in Rome, Italy [Photograph]. Available at: https://quest-eb-com.libezproxy.open.ac.uk/images/search/colosseum/deta… (Accessed: 1 September 2025).",image,"{'authors': ['Frazier', 'D.R.'], 'year': '2016', 'title': 'The Colosseum in Rome, Italy [Photograph]', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://quest-eb-com.libezproxy.open.ac.uk/images/search/colosseum/deta…', 'accessed_date': '1 September 2025', 'reference_type': 'image'}",['url_without_doi'],"Frazier, D.R. (2016) The Colosseum in Rome, Italy [Photograph]. Retrieved from: https://quest-eb-com.libezproxy.open.ac.uk/images/search/colosseum/deta… (Accessed: 1 September 2025)."
"Lee, K.Y. et al. (2017) 'Pollination efficiency of honeybees (Apis mellifera L.) and bumblebees (Bombus terrestris L.) in different cultivars of Asian Pear (Pyrus pyrifolia Nakai)', Journal of Apiculture, 32(4), pp.303-314.",journal,"{'authors': ['Lee', 'K.Y. et al.'], 'year': '2017', 'title': ""'Pollination efficiency of honeybees (Apis mellifera L"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Lee, K.Y. et al. (n.d.) 'Pollination efficiency of honeybees (Apis mellifera L.) and bumblebees (Bombus terrestris L.) in different cultivars of Asian Pear (Pyrus pyrifolia Nakai)', Journal of Apiculture, 32(4), pp.303-314."
"Mullin, C.A. et al. (2010) 'High levels of miticides and agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp.e9754.",journal,"{'authors': ['Mullin', 'C.A. et al.'], 'year': '2010', 'title': ""'High levels of miticides and agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Mullin, C.A. et al. (2010) 'High levels of miticides & agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp.e9754."
MathWorks (2016) Introduction to Machine Learning. Available at: https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf (Accessed: 20 June 2020).,ebook,"{'authors': ['MathWorks'], 'year': '2016', 'title': 'Introduction to Machine Learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf', 'accessed_date': '20 June 2020', 'reference_type': 'ebook'}",['url_without_doi'],MathWorks (2016) Introduction to Machine Learning. Available at: https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf (Accessed: 20 June 2020).
"Yu, B. et al. (2023) 'A matter of the beehive sound: Can honeybees alert the pollution out of their hives?', Environmental Science and Pollution Research International, 30(6), pp.16266-16276.",journal,"{'authors': ['Yu', 'B. et al.'], 'year': '2023', 'title': ""'A matter of the beehive sound: Can honeybees alert the pollution out of their hives?', Environmental Science and Pollution Research International, 30(6), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Yu, B et al (2023) 'A matter of the beehive sound: Can honeybees alert the pollution out of their hives?', Environmental Science and Pollution Research International, 30(6), pp16266-16276"
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"LALANI, B. (2017) ECONOMICS AND ADOPTION OF CONSERVATION AGRICULTURE IN CABO DELGADO, MOZAMBIQUE. PHD THESIS. READING UNIVERSITY."
"Barke, M. and Mowl, G. (2016) 'Málaga – a failed resort of the early twentieth century?', Journal of Tourism History, 2(3), pp. 187–212. Available at: https://doi.org/10.1080/1755182X.2010.523145.",journal,"{'authors': ['Barke', 'M.', 'Mowl', 'G.'], 'year': '2016', 'title': ""'Málaga – a failed resort of the early twentieth century?', Journal of Tourism History, 2(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://doi.org/10.1080/1755182X.2010.523145.', 'accessed_date': '', 'reference_type': 'journal'}",['missing_access_date'],"Barke, M. & Mowl, G. (2016) 'Málaga – a failed resort of the early twentieth century?', Journal of Tourism History, 2(3), pp. 187–212. Available at: https://doi.org/10.1080/1755182X.2010.523145."
"Peng, R., Ardekani, I. and Sharifzadeh, H. (2020) 'An acoustic signal processing system for identification of queen-less beehives', In Proceedings of the 2020 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC). Auckland, New Zealand, 7–10 December. IEEE, pp. 57–63. Available at: doi.org",unknown,"{'authors': ['Peng', 'R.', 'Ardekani', 'I.', 'Sharifzadeh', 'H.'], 'year': '2020', 'title': ""'An acoustic signal processing system for identification of queen-less beehives', In Proceedings of the 2020 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC)"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'unknown'}",['missing_access_date'],"Peng, R., Ardekani, I. and Sharifzadeh, H. (n.d.) 'An acoustic signal processing system for identification of queen-less beehives', In Proceedings of the 2020 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC). Auckland, New Zealand, 7–10 December. IEEE, pp. 57–63. Available at: doi.org"
"Kitton, J. (2013) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021).",image,"{'authors': ['Kitton', 'J.'], 'year': '2013', 'title': 'Golden sunset', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.jameskittophotography.co.uk/photo_8692150.html', 'accessed_date': '21 November 2021', 'reference_type': 'image'}",['url_without_doi'],"Kitton, J. (2013) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021)."
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique PhD thesis Reading University"
"Blackiston, H. (2020) Beekeeping for Dummies. 5th edn. Newark: Wiley.",book,"{'authors': ['Blackiston', 'H.'], 'year': '2020', 'title': 'Beekeeping for Dummies', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Blackiston, H. (2020) Beekeeping for Dummies. 5th edn. Newark: Wiley."
